wine_name,vintage,region,predict_score,target_score,predict_price,target_price
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2019,Saint-Julien,94.14,96,494.4,228
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2018,Saint-Julien,94.11,96,491.98,252
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2017,Saint-Julien,94.08,95,489.57,203
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2016,Saint-Julien,94.05,97,487.15,248
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2015,Saint-Julien,94.02,96,484.74,236
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2014,Saint-Julien,93.99,95,482.32,182
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2013,Saint-Julien,93.96,92,479.91,178
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2012,Saint-Julien,93.93,93,477.49,204
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2011,Saint-Julien,93.9,93,475.08,166
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2010,Saint-Julien,93.87,96,472.66,321
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2009,Saint-Julien,93.84,96,470.25,413
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2008,Saint-Julien,93.81,93,467.83,203
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2007,Saint-Julien,93.78,91,465.42,187
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2006,Saint-Julien,93.75,93,463.0,232
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2005,Saint-Julien,93.72,94,460.59,331
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2004,Saint-Julien,93.69,92,458.17,191
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2003,Saint-Julien,93.66,92,455.76,228
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2002,Saint-Julien,93.63,89,453.34,169
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2001,Saint-Julien,93.6,91,450.92,205
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2000,Saint-Julien,93.57,93,448.51,309
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2023,Saint-Estephe,93.12,-,278.35,-
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2022,Saint-Estephe,93.09,96,275.92,144
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2021,Saint-Estephe,93.06,94,273.49,119
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2020,Saint-Estephe,93.03,96,271.07,144
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2019,Saint-Estephe,93.0,95,268.64,141
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2018,Saint-Estephe,92.97,95,266.21,155
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2017,Saint-Estephe,92.94,94,263.78,123
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2016,Saint-Estephe,92.91,96,261.36,173
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2015,Saint-Estephe,92.88,93,258.93,157
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2014,Saint-Estephe,92.85,94,256.5,133
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2013,Saint-Estephe,92.82,91,254.07,125
"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2012,Saint-Estephe,92.79,92,251.65,139
